Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
MAP2K4	mitogen-activated protein kinase kinase 4	44 / 975 (4.51%)	"206 / 10,202"	0 / 952 (0.00%)	3 / 952 (0.32%)	41	Cancer Gene Census	add to survival plot
RNF213	ring finger protein 213	44 / 975 (4.51%)	"755 / 10,202"	11 / 952 (1.16%)	2 / 952 (0.21%)	57	Cancer Gene Census	add to survival plot
DNAH17	"dynein, axonemal, heavy chain 17"	44 / 975 (4.51%)	"820 / 10,202"	15 / 952 (1.58%)	1 / 952 (0.11%)	52		add to survival plot
HYDIN	"HYDIN, axonemal central pair apparatus protein"	43 / 975 (4.41%)	"870 / 10,202"	3 / 952 (0.32%)	2 / 952 (0.21%)	51		add to survival plot
MDN1	"MDN1, midasin homolog (yeast)"	43 / 975 (4.41%)	"707 / 10,202"	6 / 952 (0.63%)	1 / 952 (0.11%)	56		add to survival plot
CSMD2	CUB and Sushi multiple domains 2	43 / 975 (4.41%)	"969 / 10,202"	2 / 952 (0.21%)	2 / 952 (0.21%)	47		add to survival plot
SPEN	spen family transcriptional repressor	43 / 975 (4.41%)	"596 / 10,202"	0 / 952 (0.00%)	4 / 952 (0.42%)	60	Cancer Gene Census	add to survival plot
KMT2D	lysine (K)-specific methyltransferase 2D	43 / 975 (4.41%)	"1,140 / 10,202"	4 / 952 (0.42%)	2 / 952 (0.21%)	50	Cancer Gene Census	add to survival plot
ADGRV1	adhesion G protein-coupled receptor V1	42 / 975 (4.31%)	"1,005 / 10,202"	1 / 952 (0.11%)	4 / 952 (0.42%)	58		add to survival plot
DCHS2	dachsous cadherin-related 2	42 / 975 (4.31%)	"741 / 10,202"	4 / 952 (0.42%)	0 / 952 (0.00%)	50		add to survival plot
AHNAK	AHNAK nucleoprotein	41 / 975 (4.21%)	"855 / 10,202"	2 / 952 (0.21%)	1 / 952 (0.11%)	59		add to survival plot
PRUNE2	prune homolog 2 (Drosophila)	41 / 975 (4.21%)	"658 / 10,202"	3 / 952 (0.32%)	0 / 952 (0.00%)	51		add to survival plot
PRKDC	"protein kinase, DNA-activated, catalytic polypeptide"	41 / 975 (4.21%)	"650 / 10,202"	9 / 952 (0.95%)	1 / 952 (0.11%)	49		add to survival plot
AHNAK2	AHNAK nucleoprotein 2	41 / 975 (4.21%)	"1,019 / 10,202"	5 / 952 (0.53%)	0 / 952 (0.00%)	51		add to survival plot
MXRA5	matrix-remodelling associated 5	41 / 975 (4.21%)	"778 / 10,202"	2 / 952 (0.21%)	0 / 952 (0.00%)	49		add to survival plot
DNAH8	"dynein, axonemal, heavy chain 8"	40 / 975 (4.10%)	"985 / 10,202"	5 / 952 (0.53%)	0 / 952 (0.00%)	53		add to survival plot
AKAP9	A kinase (PRKA) anchor protein 9	40 / 975 (4.10%)	"618 / 10,202"	2 / 952 (0.21%)	0 / 952 (0.00%)	53	Cancer Gene Census	add to survival plot
SVEP1	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	40 / 975 (4.10%)	"663 / 10,202"	1 / 952 (0.11%)	0 / 952 (0.00%)	44		add to survival plot
BIRC6	baculoviral IAP repeat containing 6	40 / 975 (4.10%)	"688 / 10,202"	3 / 952 (0.32%)	2 / 952 (0.21%)	47		add to survival plot
TENM1	teneurin transmembrane protein 1	40 / 975 (4.10%)	"810 / 10,202"	3 / 952 (0.32%)	1 / 952 (0.11%)	44		add to survival plot
FAT1	FAT atypical cadherin 1	40 / 975 (4.10%)	"875 / 10,202"	2 / 952 (0.21%)	1 / 952 (0.11%)	43	Cancer Gene Census	add to survival plot
XKR4	"XK, Kell blood group complex subunit-related family, member 4"	40 / 975 (4.10%)	"648 / 10,202"	1 / 952 (0.11%)	4 / 952 (0.42%)	43		add to survival plot
MYH9	"myosin, heavy chain 9, non-muscle"	39 / 975 (4.00%)	"455 / 10,202"	0 / 952 (0.00%)	0 / 952 (0.00%)	41	Cancer Gene Census	add to survival plot
CHD6	chromodomain helicase DNA binding protein 6	39 / 975 (4.00%)	"546 / 10,202"	2 / 952 (0.21%)	3 / 952 (0.32%)	39		add to survival plot
DNAH9	"dynein, axonemal, heavy chain 9"	39 / 975 (4.00%)	"994 / 10,202"	1 / 952 (0.11%)	0 / 952 (0.00%)	45		add to survival plot
GON4L	gon-4-like (C. elegans)	39 / 975 (4.00%)	"480 / 10,202"	6 / 952 (0.63%)	2 / 952 (0.21%)	46		add to survival plot
ASH1L	"ash1 (absent, small, or homeotic)-like (Drosophila)"	38 / 975 (3.90%)	"594 / 10,202"	6 / 952 (0.63%)	1 / 952 (0.11%)	47		add to survival plot
LYST	lysosomal trafficking regulator	38 / 975 (3.90%)	"602 / 10,202"	8 / 952 (0.84%)	1 / 952 (0.11%)	46		add to survival plot
DNAH14	"dynein, axonemal, heavy chain 14"	38 / 975 (3.90%)	"327 / 10,202"	4 / 952 (0.42%)	0 / 952 (0.00%)	48		add to survival plot
DNAH5	"dynein, axonemal, heavy chain 5"	38 / 975 (3.90%)	"1,258 / 10,202"	3 / 952 (0.32%)	0 / 952 (0.00%)	52		add to survival plot
LAMA1	"laminin, alpha 1"	38 / 975 (3.90%)	"753 / 10,202"	1 / 952 (0.11%)	0 / 952 (0.00%)	40		add to survival plot
SACS	sacsin molecular chaperone	38 / 975 (3.90%)	"769 / 10,202"	4 / 952 (0.42%)	3 / 952 (0.32%)	50		add to survival plot
NBPF12	"neuroblastoma breakpoint family, member 12"	38 / 975 (3.90%)	"307 / 10,202"	5 / 952 (0.53%)	2 / 952 (0.21%)	29		add to survival plot
ASPM	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"	38 / 975 (3.90%)	"622 / 10,202"	4 / 952 (0.42%)	1 / 952 (0.11%)	49		add to survival plot
DNAH3	"dynein, axonemal, heavy chain 3"	37 / 975 (3.79%)	"884 / 10,202"	1 / 952 (0.11%)	0 / 952 (0.00%)	39		add to survival plot
FMN2	formin 2	37 / 975 (3.79%)	"731 / 10,202"	11 / 952 (1.16%)	2 / 952 (0.21%)	39		add to survival plot
USP34	ubiquitin specific peptidase 34	37 / 975 (3.79%)	"498 / 10,202"	6 / 952 (0.63%)	0 / 952 (0.00%)	39		add to survival plot
TBX3	T-box 3	37 / 975 (3.79%)	"263 / 10,202"	0 / 952 (0.00%)	0 / 952 (0.00%)	42	Cancer Gene Census	add to survival plot
CUBN	cubilin (intrinsic factor-cobalamin receptor)	37 / 975 (3.79%)	"836 / 10,202"	4 / 952 (0.42%)	0 / 952 (0.00%)	43		add to survival plot
ST6GALNAC3	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"	37 / 975 (3.79%)	"269 / 10,202"	3 / 952 (0.32%)	1 / 952 (0.11%)	7		add to survival plot
VPS13B	vacuolar protein sorting 13 homolog B (yeast)	37 / 975 (3.79%)	"728 / 10,202"	9 / 952 (0.95%)	0 / 952 (0.00%)	43		add to survival plot
ALMS1	Alstrom syndrome 1	37 / 975 (3.79%)	"637 / 10,202"	4 / 952 (0.42%)	0 / 952 (0.00%)	48		add to survival plot
MED12	mediator complex subunit 12	37 / 975 (3.79%)	"477 / 10,202"	0 / 952 (0.00%)	0 / 952 (0.00%)	39	Cancer Gene Census	add to survival plot
LRP1	low density lipoprotein receptor-related protein 1	37 / 975 (3.79%)	"738 / 10,202"	2 / 952 (0.21%)	2 / 952 (0.21%)	46		add to survival plot
RELN	reelin	37 / 975 (3.79%)	"859 / 10,202"	5 / 952 (0.53%)	1 / 952 (0.11%)	42		add to survival plot
HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	37 / 975 (3.79%)	"788 / 10,202"	1 / 952 (0.11%)	1 / 952 (0.11%)	45		add to survival plot
ANK2	"ankyrin 2, neuronal"	36 / 975 (3.69%)	"879 / 10,202"	4 / 952 (0.42%)	1 / 952 (0.11%)	48		add to survival plot
PTPRD	"protein tyrosine phosphatase, receptor type, D"	36 / 975 (3.69%)	"696 / 10,202"	1 / 952 (0.11%)	3 / 952 (0.32%)	38		add to survival plot
ANK3	"ankyrin 3, node of Ranvier (ankyrin G)"	36 / 975 (3.69%)	"829 / 10,202"	7 / 952 (0.74%)	1 / 952 (0.11%)	55		add to survival plot
SRCAP	Snf2-related CREBBP activator protein	36 / 975 (3.69%)	"578 / 10,202"	4 / 952 (0.42%)	1 / 952 (0.11%)	40		add to survival plot
MLLT4	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4"	36 / 975 (3.69%)	"439 / 10,202"	0 / 952 (0.00%)	7 / 952 (0.74%)	33	Cancer Gene Census	add to survival plot
FBN1	fibrillin 1	35 / 975 (3.59%)	"554 / 10,202"	2 / 952 (0.21%)	2 / 952 (0.21%)	40		add to survival plot
